t,S_ref,R_ref,I_ref,C_ref,S_ode,R_ode,I_ode,C_ode,S_supermodel,R_supermodel,I_supermodel,C_supermodel,S_supernet,R_supernet,I_supernet,C_supernet
67.2,0.003914057502353242,0.047102838437732046,0.00928490527151008,0.017911584470101254,0.003914057502353242,0.047102838437732046,0.00928490527151008,0.017911584470101254,0.0,0.29838517,0.056839503,0.020067789,0.008192979,0.027084032,0.005762986,0.059271395
67.4,0.003932723971902065,0.047353027658526475,0.009303625097032038,0.016207071845012532,0.003932723971902065,0.047353027658526475,0.009303625097032038,0.016207071845012532,0.0,0.29998994,0.057059564,0.01840204,0.008174534,0.027071502,0.0057455627,0.059065327
67.60000000000001,0.0039525050090298015,0.0476059981129552,0.009323046794766823,0.014664765042302989,0.0039525050090298015,0.0476059981129552,0.009323046794766823,0.014664765042302989,0.0,0.30160698,0.057281695,0.016895065,0.008156088,0.02705874,0.005728021,0.05886034
67.8,0.003973316563467776,0.047861632770995186,0.00934317148882759,0.0132692281371069,0.003973316563467776,0.047861632770995186,0.00934317148882759,0.0132692281371069,0.0,0.30323547,0.0575059,0.015531743,0.008137879,0.027045976,0.0057107154,0.05865643
68.0,0.003995083042303242,0.04811982572433881,0.009363999524302145,0.01200649412702335,0.003995083042303242,0.04811982572433881,0.009363999524302145,0.01200649412702335,0.0,0.30487466,0.057732172,0.014298396,0.00811967,0.02703298,0.00569341,0.058453497
68.2,0.004017736399558823,0.0483804811856185,0.009385530556349563,0.010863925145662364,0.004017736399558823,0.0483804811856185,0.009385530556349563,0.010863925145662364,0.0,0.30652386,0.057960518,0.013182649,0.008101696,0.027019985,0.0056762225,0.058251537
68.4,0.004041215336027407,0.04864351257784861,0.009407763630370328,0.009830085978629947,0.004041215336027407,0.04864351257784861,0.009407763630370328,0.009830085978629947,0.0,0.30818245,0.058190923,0.012173304,0.008083723,0.027006757,0.005659153,0.058050655
68.60000000000001,0.004065464594125465,0.048908841705938816,0.009430697254173082,0.008894629616059047,0.004065464594125465,0.048908841705938816,0.009430697254173082,0.008894629616059047,0.0,0.30984986,0.058423385,0.01126023,0.008065866,0.026993414,0.005642202,0.05785086
68.8,0.004090434334902447,0.04917639800287363,0.009454329462956556,0.008048193696257144,0.004090434334902447,0.04917639800287363,0.009454329462956556,0.008048193696257144,0.0,0.31152555,0.058657896,0.01043426,0.008048247,0.026979953,0.00562537,0.057651922
69.0,0.004116079586312903,0.049446117843823356,0.009478657877834218,0.007282306804043404,0.004116079586312903,0.049446117843823356,0.009478657877834218,0.007282306804043404,0.0,0.31320906,0.05889444,0.009687099,0.008030627,0.026966376,0.005608537,0.057454187
69.2,0.004142359753495102,0.04971794392205967,0.009503679758549478,0.00658930368597859,0.004142359753495102,0.04971794392205967,0.009503679758549478,0.00658930368597859,0.0,0.31489992,0.059133008,0.0090112435,0.008013125,0.026952684,0.0055918223,0.057257313
69.4,0.004169238183165163,0.049991824681102616,0.009529392050959477,0.00596224853393203,0.004169238183165163,0.049991824681102616,0.009529392050959477,0.00596224853393203,0.0,0.31659773,0.059373587,0.008399905,0.007995859,0.026938876,0.005575226,0.057061523
69.60000000000001,0.00419668177537723,0.05026771379802774,0.009555791429804093,0.005394865569182715,0.00419668177537723,0.05026771379802774,0.009555791429804093,0.005394865569182715,0.0,0.31830212,0.05961616,0.007846939,0.007978593,0.026924951,0.0055586295,0.056866713
69.8,0.00422466063685797,0.05054556971331985,0.009582874337222547,0.004881476232316541,0.00422466063685797,0.05054556971331985,0.009582874337222547,0.004881476232316541,0.0,0.32001275,0.059860714,0.00734679,0.007961445,0.02691091,0.005542151,0.05667288
70.0,0.004253074080668454,0.05082524694365006,0.009610637007401014,0.004678266804208373,0.004253074080668454,0.05082524694365006,0.009610637007401014,0.004678266804208373,0.0,0.32172927,0.06010723,0.023561096,0.007944414,0.02689675,0.005525791,0.05648013
70.2,0.00425562829232244,0.051068737625433375,0.00963900762351445,0.09787536133747311,0.00425562829232244,0.051068737625433375,0.00963900762351445,0.09787536133747311,0.0,0.32303977,0.06035349,0.116724245,0.0079275025,0.026882479,0.005509549,0.056288358
70.4,0.004188435589842489,0.05121398057073097,0.009667444383950658,0.18372387119826392,0.004188435589842489,0.05121398057073097,0.009667444383950658,0.18372387119826392,0.0,0.3237814,0.060596745,0.20101619,0.007910708,0.026868088,0.005493307,0.05609745
70.60000000000001,0.0040659696623449116,0.051278542953539646,0.009695351425568289,0.26140281520367037,0.0040659696623449116,0.051278542953539646,0.009695351425568289,0.26140281520367037,0.0,0.32400647,0.060835112,0.2772816,0.007893913,0.026853582,0.005477183,0.055907637
70.8,0.003898514997181425,0.05126936415100425,0.009722234970339281,0.3316896303339416,0.003898514997181425,0.05126936415100425,0.009722234970339281,0.3316896303339416,0.0,0.32376477,0.061066933,0.3462848,0.007877355,0.026839076,0.005461178,0.0557188
71.0,0.0036966884387973843,0.05119289741643536,0.009747679134472475,0.39501634243953776,0.0036966884387973843,0.05119289741643536,0.009747679134472475,0.39501634243953776,0.0,0.32310328,0.061290756,0.39205065,0.0078607965,0.026824336,0.0054452904,0.055530943
71.2,0.003496966964812956,0.051101731208458095,0.009771437853737717,0.3597637911249281,0.003496966964812956,0.051101731208458095,0.009771437853737717,0.3597637911249281,0.0,0.32247642,0.061507527,0.35496587,0.007844475,0.026809482,0.005429403,0.055344064
