t,PDE_TB,ODE_TB,Supermodel_TB,SuperNet_TB
8.4,0.007909484827923932,0.008068177570140255,0.0,0.02725763
8.44,0.007884547746003334,0.008048551588858685,0.0,0.027303444
8.48,0.00785998624123542,0.008029235414355946,0.0,0.027348747
8.52,0.007835793141822789,0.008010223592226227,0.0,0.027393328
8.56,0.007811961512389843,0.007991510833886535,0.0,0.027437503
8.6,0.007788484643201632,0.007973092009743665,0.0,0.027480984
8.64,0.00776535603996993,0.00795496214269611,0.0,0.027524063
8.68,0.00774256941421111,0.00793711640195268,0.0,0.02756623
8.72,0.007720118674122686,0.007919550097150722,0.0,0.027607946
8.76,0.007697997915947585,0.007902258672757753,0.0,0.02764902
8.8,0.007676201415797105,0.00788523770274134,0.0,0.027690092
8.84,0.00765472362190546,0.007868482885492883,0.0,0.027730232
8.88,0.007633559147290459,0.007851990038991789,0.0,0.027770286
8.92,0.007612702762796545,0.007835755096197324,0.0,0.027809625
8.96,0.007592149390497869,0.007819774100656143,0.0,0.02784842
9.0,0.007571894097440507,0.007804043202314163,0.0,0.027886672
9.040000000000001,0.007532019093327033,0.007774214303451244,0.0,0.027925035
9.08,0.007486178637077613,0.007736299680844479,0.0,0.027962541
9.120000000000001,0.00744106116690331,0.007698965389960989,0.0,0.027999429
9.16,0.007396649256603505,0.0076621983024055705,0.0,0.028036354
9.200000000000001,0.0073529262213145735,0.007625985806192307,0.0,0.02807249
9.24,0.007309876071343662,0.007590315777025879,0.0,0.02810852
9.28,0.007267483469468652,0.007555176551485264,0.0,0.028144537
9.32,0.0072257336914189185,0.007520556901971643,0.0,0.028180031
9.36,0.007184612589276153,0.007486446013292876,0.0,0.028214863
9.4,0.007144106557557418,0.00745283346076684,0.0,0.028249754
9.44,0.007104202501762992,0.007419709189734865,0.0,0.02828425
9.48,0.007064887809190443,0.007387063496384841,0.0,0.028318582
9.52,0.007026150321833282,0.007354887009791192,0.0,0.02835246
9.56,0.006987978311198157,0.007323170675085904,0.0,0.02838589
9.6,0.006950360454888575,0.007291905737681317,0.0,0.028419046
9.64,0.0069132858148160635,0.0072610837284712675,0.0,0.028452588
9.68,0.006876743816911366,0.0072306964499427185,0.0,0.028485386
9.72,0.00684072423221894,0.007200735963135005,0.0,0.02851802
9.76,0.006805217159267791,0.007171194575388525,0.0,0.028550534
9.8,0.006770213007620554,0.007142064828828963,0.0,0.028582959
9.84,0.006735702482510805,0.007113339489537104,0.0,0.028615145
9.88,0.006701676570486057,0.007085011537357948,0.0,0.028646788
9.92,0.006668126525980581,0.007057074156306199,0.0,0.0286784
9.96,0.006635043858748451,0.007029520725528324,0.0,0.028710065
9.98,0.006618675205309968,0.0070158859737252995,0.0,0.028725369
